Date : 2023-12-14 01:58:19
Directory : /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev
Total : 138 files,  6532 codes, 541 comments, 2222 blanks, all 9295 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| libhomecontroller/include/homecontroller/util                                                                                                           |          4 |        211 |         66 |         52 |        329 |
| libhomecontroller/src                                                                                                                                   |         32 |      1,591 |        138 |        549 |      2,278 |
| libhomecontroller/src/api                                                                                                                               |         14 |        545 |         73 |        200 |        818 |
| libhomecontroller/src/api (Files)                                                                                                                       |          5 |        347 |         69 |        128 |        544 |
| libhomecontroller/src/api/device_states                                                                                                                 |          2 |         64 |          4 |         30 |         98 |
| libhomecontroller/src/api/request                                                                                                                       |          3 |         45 |          0 |         15 |         60 |
| libhomecontroller/src/api/response                                                                                                                      |          4 |         89 |          0 |         27 |        116 |
| libhomecontroller/src/http                                                                                                                              |          5 |        133 |          0 |         54 |        187 |
| libhomecontroller/src/json                                                                                                                              |          1 |         84 |          0 |         21 |        105 |
| libhomecontroller/src/net                                                                                                                               |          8 |        642 |         65 |        203 |        910 |
| libhomecontroller/src/net/ssl                                                                                                                           |          5 |        517 |         29 |        160 |        706 |
| libhomecontroller/src/net/ws                                                                                                                            |          3 |        125 |         36 |         43 |        204 |
| libhomecontroller/src/thread                                                                                                                            |          1 |         51 |          0 |         25 |         76 |
| libhomecontroller/src/util                                                                                                                              |          3 |        136 |          0 |         46 |        182 |
| web                                                                                                                                                     |         25 |      1,434 |        135 |        362 |      1,931 |
| web/homecontroller                                                                                                                                      |         25 |      1,434 |        135 |        362 |      1,931 |
| web/homecontroller (Files)                                                                                                                              |          6 |         86 |          3 |          8 |         97 |
| web/homecontroller/src                                                                                                                                  |         19 |      1,348 |        132 |        354 |      1,834 |
| web/homecontroller/src/app                                                                                                                              |         12 |        543 |         78 |        114 |        735 |
| web/homecontroller/src/app (Files)                                                                                                                      |          3 |         25 |          0 |          6 |         31 |
| web/homecontroller/src/app/home                                                                                                                         |          8 |        445 |         78 |         97 |        620 |
| web/homecontroller/src/app/home (Files)                                                                                                                 |          1 |         62 |          0 |         14 |         76 |
| web/homecontroller/src/app/home/contexts                                                                                                                |          2 |          9 |         51 |          6 |         66 |
| web/homecontroller/src/app/home/devices                                                                                                                 |          5 |        374 |         27 |         77 |        478 |
| web/homecontroller/src/app/home/devices (Files)                                                                                                         |          1 |         56 |          0 |         13 |         69 |
| web/homecontroller/src/app/home/devices/[id]                                                                                                            |          2 |        248 |         27 |         56 |        331 |
| web/homecontroller/src/app/home/devices/[id] (Files)                                                                                                    |          1 |         54 |         23 |         14 |         91 |
| web/homecontroller/src/app/home/devices/[id]/components                                                                                                 |          1 |        194 |          4 |         42 |        240 |
| web/homecontroller/src/app/home/devices/components                                                                                                      |          2 |         70 |          0 |          8 |         78 |
| web/homecontroller/src/app/login                                                                                                                        |          1 |         73 |          0 |         11 |         84 |
| web/homecontroller/src/deps                                                                                                                             |          7 |        805 |         54 |        240 |      1,099 |
| web/homecontroller/src/deps/hc                                                                                                                          |          7 |        805 |         54 |        240 |      1,099 |
| web/homecontroller/src/deps/hc (Files)                                                                                                                  |          4 |        639 |         53 |        177 |        869 |
| web/homecontroller/src/deps/hc/device_states                                                                                                            |          1 |        106 |          1 |         40 |        147 |
| web/homecontroller/src/deps/hc/util                                                                                                                     |          2 |         60 |          0 |         23 |         83 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/Makefile                                                             | Makefile           |         37 |          4 |         20 |         61 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/conf/device_node.json                                                | JSON               |          9 |          0 |          0 |          9 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/device_manager.cpp                                               | C++                |         62 |          1 |         30 |         93 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/device_manager.h                                                 | C++                |         53 |          0 |         25 |         78 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/device_node.cpp                                                  | C++                |        122 |         14 |         43 |        179 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/device_node.h                                                    | C++                |         33 |          1 |         13 |         47 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/main.cpp                                                         | C++                |         18 |          0 |          7 |         25 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/protocol_handler/device_handler.cpp                              | C++                |        177 |         30 |         54 |        261 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/protocol_handler/device_handler.h                                | C++                |         30 |          8 |         17 |         55 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/protocol_handler/http_handler.cpp                                | C++                |        105 |          0 |         30 |        135 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/protocol_handler/http_handler.h                                  | C++                |         16 |          7 |         11 |         34 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/protocol_handler/protocol_handler.cpp                            | C++                |         12 |          0 |          7 |         19 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/protocol_handler/protocol_handler.h                              | C++                |         24 |          0 |         14 |         38 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/protocol_handler/ws_handler.cpp                                  | C++                |        171 |         33 |         51 |        255 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/protocol_handler/ws_handler.h                                    | C++                |         28 |          5 |         17 |         50 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/state.h                                                          | C++                |         14 |          0 |          8 |         22 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/ticket_service.cpp                                               | C++                |         78 |          0 |         31 |        109 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/src/ticket_service.h                                                 | C++                |         30 |          0 |          9 |         39 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/tools/test_client.py                                                 | Python             |         19 |          1 |          4 |         24 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/device_node/tools/test_ws.py                                                     | Python             |         20 |          2 |          3 |         25 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/rgb_lights/Makefile                                                      | Makefile           |         34 |          2 |         16 |         52 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/rgb_lights/src/main.cpp                                                  | C++                |         22 |          0 |          8 |         30 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/rgb_lights/src/programs/program.cpp                                      | C++                |         31 |          0 |         10 |         41 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/rgb_lights/src/programs/program.h                                        | C++                |         27 |          0 |         13 |         40 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/rgb_lights/src/programs/rainbow_fade_program.cpp                         | C++                |         47 |          0 |         13 |         60 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/rgb_lights/src/programs/rainbow_fade_program.h                           | C++                |         28 |          0 |          8 |         36 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/rgb_lights/src/pwm.cpp                                                   | C++                |         46 |         17 |         22 |         85 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/rgb_lights/src/pwm.h                                                     | C++                |         17 |          0 |          7 |         24 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/rgb_lights/src/rgb_lights.cpp                                            | C++                |        238 |          3 |         85 |        326 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/rgb_lights/src/rgb_lights.h                                              | C++                |         38 |          0 |         19 |         57 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/test_device/Makefile                                                     | Makefile           |         24 |          1 |         12 |         37 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/test_device/src/main.cpp                                                 | C++                |         32 |          0 |         12 |         44 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/hc_tools/docker_tools/Dockerfile                                                 | Docker             |         32 |          1 |          8 |         41 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/hc_tools/docker_tools/Makefile                                                   | Makefile           |         26 |          0 |          9 |         35 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/package.json                                                  | JSON               |         22 |          0 |          1 |         23 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/auth_manager.ts                                           | TypeScript         |         25 |          1 |          9 |         35 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/error_response.ts                                         | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/index.ts                                                  | TypeScript         |        225 |         21 |         63 |        309 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/response.ts                                               | TypeScript         |         41 |          2 |          9 |         52 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/ticket_service.ts                                         | TypeScript         |         95 |          0 |         31 |        126 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/user_manager.ts                                           | TypeScript         |         59 |          0 |         17 |         76 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/util/exception.ts                                         | TypeScript         |         14 |          0 |          3 |         17 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/util/logger.ts                                            | TypeScript         |         51 |          0 |         17 |         68 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/util/token.ts                                             | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/tsconfig.json                                                 | JSON with Comments |         13 |          4 |          0 |         17 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/Makefile                                                       | Makefile           |         98 |         11 |         49 |        158 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/client_packet.h                     | C++                |         57 |          0 |         19 |         76 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/device.h                            | C++                |         45 |          0 |         21 |         66 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/device_states/device_state.h        | C++                |         13 |          0 |          5 |         18 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/device_states/rgb_lights_state.h    | C++                |         47 |          0 |         19 |         66 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/info.h                              | C++                |         26 |          0 |          9 |         35 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/message.h                           | C++                |         15 |          0 |         10 |         25 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/request/login_device_request.h      | C++                |         25 |          0 |         11 |         36 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/request/request.h                   | C++                |         21 |          0 |         10 |         31 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/request/validate_request.h          | C++                |         19 |          0 |          9 |         28 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/request_maker.h                     | C++                |         41 |          4 |         22 |         67 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/response/login_device_response.h    | C++                |         35 |          0 |         14 |         49 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/response/response.h                 | C++                |         22 |          0 |          9 |         31 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/response/validate_device_response.h | C++                |         22 |          0 |         10 |         32 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/response/validate_user_response.h   | C++                |         19 |          0 |          9 |         28 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/state.h                             | C++                |         27 |          8 |         14 |         49 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/exception.h                             | C++                |         23 |          0 |          6 |         29 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/http/common.h                           | C++                |         35 |          0 |         11 |         46 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/http/generic.h                          | C++                |         26 |          0 |         11 |         37 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/http/parser.h                           | C++                |         34 |          2 |         18 |         54 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/http/request.h                          | C++                |         29 |          0 |         13 |         42 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/http/response.h                         | C++                |         26 |          0 |         12 |         38 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/json/document.h                         | C++                |         27 |          0 |         12 |         39 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ssl/client.h                        | C++                |         29 |          0 |         15 |         44 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ssl/client_connection.h             | C++                |         22 |          0 |         10 |         32 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ssl/connection.h                    | C++                |         49 |          1 |         20 |         70 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ssl/server.h                        | C++                |         58 |         11 |         32 |        101 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ssl/server_connection.h             | C++                |         26 |          1 |         12 |         39 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ws/client_wrapper.h                 | C++                |         23 |          0 |         11 |         34 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ws/server_wrapper.h                 | C++                |         22 |          0 |          9 |         31 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ws/wrapper.h                        | C++                |         46 |          6 |         26 |         78 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/thread/thread_pool.h                    | C++                |         28 |          0 |         11 |         39 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/util/base64.h                           | C++                |        157 |         66 |         30 |        253 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/util/bits.h                             | C++                |         19 |          0 |          8 |         27 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/util/logger.h                           | C++                |         24 |          0 |         10 |         34 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/util/str.h                              | C++                |         11 |          0 |          4 |         15 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/client_packet.cpp                                      | C++                |         58 |         11 |         27 |         96 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/device.cpp                                             | C++                |        129 |          2 |         37 |        168 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/device_states/device_state.cpp                         | C++                |         11 |          0 |          4 |         15 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/device_states/rgb_lights_state.cpp                     | C++                |         53 |          4 |         26 |         83 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/message.cpp                                            | C++                |         11 |          0 |          6 |         17 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/request/login_device_request.cpp                       | C++                |         19 |          0 |          5 |         24 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/request/request.cpp                                    | C++                |         11 |          0 |          5 |         16 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/request/validate_request.cpp                           | C++                |         15 |          0 |          5 |         20 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/request_maker.cpp                                      | C++                |        123 |         49 |         42 |        214 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/response/login_device_response.cpp                     | C++                |         33 |          0 |          9 |         42 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/response/response.cpp                                  | C++                |         22 |          0 |          8 |         30 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/response/validate_device_response.cpp                  | C++                |         18 |          0 |          5 |         23 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/response/validate_user_response.cpp                    | C++                |         16 |          0 |          5 |         21 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/state.cpp                                              | C++                |         26 |          7 |         16 |         49 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/http/common.cpp                                            | C++                |          0 |          0 |          1 |          1 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/http/generic.cpp                                           | C++                |         19 |          0 |          6 |         25 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/http/parser.cpp                                            | C++                |         86 |          0 |         37 |        123 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/http/request.cpp                                           | C++                |         14 |          0 |          5 |         19 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/http/response.cpp                                          | C++                |         14 |          0 |          5 |         19 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/json/document.cpp                                          | C++                |         84 |          0 |         21 |        105 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ssl/client.cpp                                         | C++                |         78 |         15 |         27 |        120 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ssl/client_connection.cpp                              | C++                |         16 |          0 |          4 |         20 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ssl/connection.cpp                                     | C++                |        111 |          1 |         33 |        145 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ssl/server.cpp                                         | C++                |        291 |         13 |         91 |        395 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ssl/server_connection.cpp                              | C++                |         21 |          0 |          5 |         26 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ws/client_wrapper.cpp                                  | C++                |         15 |          0 |          5 |         20 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ws/server_wrapper.cpp                                  | C++                |         18 |          0 |          7 |         25 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ws/wrapper.cpp                                         | C++                |         92 |         36 |         31 |        159 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/thread/thread_pool.cpp                                     | C++                |         51 |          0 |         25 |         76 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/util/bits.cpp                                              | C++                |         72 |          0 |         22 |         94 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/util/logger.cpp                                            | C++                |         40 |          0 |         15 |         55 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/util/str.cpp                                               | C++                |         24 |          0 |          9 |         33 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/web/homecontroller/.eslintrc.json                                                | JSON               |          3 |          0 |          1 |          4 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/web/homecontroller/next.config.js                                                | JavaScript         |          2 |          1 |          2 |          5 |
| /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/web/homecontroller/package.json                                                  | JSON               |         31 |          0 |          1 |         32 |
